CRS_DEP_TIME,Departure_Delay_Percentage,Arrival_Delay_Percentage
1,54.167,54.167
2,40.0,20.0
3,100.0,100.0
4,58.824,41.176
5,38.971,25.0
6,33.333,27.778
7,46.154,46.154
8,31.25,37.5
9,36.667,35.0
10,35.354,33.333
11,14.286,28.571
12,21.429,21.429
13,60.0,40.0
14,50.0,50.0
15,32.906,26.923
16,45.349,32.558
17,50.0,42.857
18,45.714,40.0
19,46.0,48.0
20,35.135,31.081
21,46.667,26.667
22,52.941,41.176
23,45.714,31.429
24,53.333,60.0
25,37.908,28.105
26,44.444,44.444
27,77.778,55.556
28,35.484,25.806
29,50.588,37.647
30,31.28,27.014
31,15.789,15.789
32,62.745,54.902
33,35.294,26.471
34,45.238,50.0
35,31.023,28.053
36,44.444,48.148
37,57.143,48.571
38,50.0,43.75
39,36.111,31.944
40,34.641,26.471
41,27.273,24.242
42,31.579,26.316
43,37.931,34.483
44,64.0,58.0
45,30.584,26.358
46,28.261,28.261
47,25.714,22.857
48,28.947,26.316
49,35.065,29.87
50,35.435,29.429
51,41.176,26.471
52,47.826,39.13
53,36.066,36.066
54,41.071,28.571
55,33.667,29.459
56,28.125,25.0
57,44.068,40.678
58,33.333,26.19
59,41.071,33.69
100,28.834,22.699
101,33.333,35.556
102,20.0,20.0
103,23.077,30.769
104,19.231,15.385
105,43.258,36.517
106,73.684,68.421
107,14.815,18.519
108,50.0,50.0
109,41.463,34.146
110,34.783,31.304
111,33.333,33.333
112,36.364,36.364
113,47.826,34.783
114,69.231,38.462
115,36.893,30.097
116,31.579,15.789
118,23.077,26.923
119,19.231,19.231
120,30.435,39.13
121,33.333,26.667
122,19.048,19.048
123,20.0,40.0
124,40.0,50.0
125,40.0,40.0
126,21.429,21.429
127,37.5,31.25
128,25.0,50.0
129,47.5,50.0
130,35.294,31.373
131,50.0,16.667
132,33.333,0.0
133,33.333,33.333
134,75.0,50.0
135,25.373,23.881
136,18.75,31.25
137,28.571,14.286
138,35.294,35.294
139,44.444,44.444
140,43.82,31.461
141,88.889,44.444
142,50.0,50.0
143,0.0,0.0
144,25.0,25.0
145,32.927,31.707
146,46.154,30.769
149,7.692,15.385
150,38.065,36.129
151,33.333,66.667
152,16.667,16.667
153,11.111,11.111
154,0.0,0.0
155,43.919,47.297
156,37.5,50.0
158,0.0,100.0
159,43.902,41.463
200,36.111,27.778
201,38.889,33.333
202,30.0,50.0
203,75.0,50.0
204,100.0,100.0
205,41.667,38.889
206,44.444,33.333
209,66.667,66.667
210,42.857,38.095
214,66.667,44.444
215,54.545,45.455
216,100.0,100.0
217,75.0,75.0
218,66.667,0.0
219,30.0,30.0
220,60.0,60.0
221,33.333,33.333
222,37.5,37.5
224,28.571,100.0
225,28.571,30.952
226,25.0,25.0
228,66.667,66.667
229,20.0,20.0
230,38.333,33.333
233,62.5,62.5
235,27.273,36.364
237,100.0,100.0
238,50.0,66.667
239,71.429,71.429
240,57.778,37.778
243,25.0,50.0
244,40.0,40.0
245,24.194,40.323
246,100.0,0.0
247,50.0,50.0
249,0.0,0.0
250,36.207,32.759
251,0.0,25.0
252,44.444,22.222
253,33.333,33.333
254,50.0,50.0
255,48.78,46.341
256,64.286,42.857
257,0.0,33.333
258,69.231,61.538
259,33.871,37.097
300,66.667,52.381
301,25.0,25.0
