AIRLINE,ORIGIN,DEST,Carrier_Delays,Weather_Delays,NAS_Delays,Security_Delays,Late_Aircraft_Delays,Total_Flights
Hawaiian Airlines Inc.,OGG,HNL,517,41,105,2,522,3577
Hawaiian Airlines Inc.,HNL,OGG,368,27,31,1,221,3496
Alaska Airlines Inc.,SEA,ANC,277,15,353,2,173,2474
Hawaiian Airlines Inc.,HNL,KOA,242,19,10,2,157,2467
Hawaiian Airlines Inc.,LIH,HNL,239,28,75,0,294,2459
Hawaiian Airlines Inc.,KOA,HNL,196,18,46,0,280,2458
Alaska Airlines Inc.,ANC,SEA,137,9,210,2,83,2423
Hawaiian Airlines Inc.,HNL,LIH,255,20,22,3,202,2415
Delta Air Lines Inc.,MCO,ATL,150,26,201,0,198,2378
Delta Air Lines Inc.,ATL,MCO,318,18,215,0,113,2336
Southwest Airlines Co.,HOU,DAL,223,17,178,3,193,2167
Southwest Airlines Co.,DAL,HOU,233,10,134,1,228,2147
American Airlines Inc.,LAX,DFW,238,2,149,3,150,2109
American Airlines Inc.,DFW,LAX,316,45,192,6,204,2093
Hawaiian Airlines Inc.,ITO,HNL,157,22,25,2,196,1980
Southwest Airlines Co.,SAN,SJC,164,0,117,1,260,1953
Delta Air Lines Inc.,ATL,LGA,194,12,195,1,101,1949
Delta Air Lines Inc.,LGA,ATL,195,12,158,3,162,1942
Southwest Airlines Co.,SAN,SMF,155,0,119,1,240,1929
Southwest Airlines Co.,SJC,SAN,184,2,116,2,214,1927
Hawaiian Airlines Inc.,HNL,ITO,212,14,17,0,148,1902
Delta Air Lines Inc.,ATL,FLL,242,15,189,2,109,1898
Delta Air Lines Inc.,FLL,ATL,121,30,148,3,181,1897
Delta Air Lines Inc.,TPA,ATL,87,21,122,1,138,1879
Southwest Airlines Co.,SMF,SAN,173,1,75,1,198,1867
Delta Air Lines Inc.,ATL,TPA,222,21,138,0,105,1856
Southwest Airlines Co.,PHX,DEN,248,8,159,4,241,1817
Delta Air Lines Inc.,LAX,ATL,230,9,145,1,142,1808
Alaska Airlines Inc.,SEA,LAX,134,9,190,2,119,1788
Southwest Airlines Co.,DEN,PHX,319,10,135,1,283,1788
American Airlines Inc.,DFW,AUS,270,46,249,0,238,1771
American Airlines Inc.,DFW,ORD,243,35,177,0,151,1755
Delta Air Lines Inc.,ATL,LAX,243,12,205,0,77,1753
American Airlines Inc.,ORD,DFW,259,54,234,4,139,1736
Alaska Airlines Inc.,LAX,SEA,93,0,182,0,90,1713
Delta Air Lines Inc.,DTW,ATL,134,9,80,2,64,1713
American Airlines Inc.,PHX,DFW,130,8,123,4,126,1703
Delta Air Lines Inc.,ATL,JAX,188,11,76,0,79,1692
Delta Air Lines Inc.,ATL,DTW,195,11,120,0,71,1689
American Airlines Inc.,AUS,DFW,132,23,127,3,167,1685
American Airlines Inc.,DFW,LGA,217,36,192,0,184,1684
American Airlines Inc.,DFW,PHX,281,46,149,0,179,1680
American Airlines Inc.,LGA,DFW,128,35,206,0,140,1678
American Airlines Inc.,MCO,CLT,83,49,130,3,170,1677
American Airlines Inc.,CLT,MCO,222,27,203,3,187,1666
Delta Air Lines Inc.,ATL,BOS,178,8,147,1,87,1664
American Airlines Inc.,DFW,CLT,225,36,129,1,191,1658
Delta Air Lines Inc.,DCA,ATL,82,12,111,0,109,1653
American Airlines Inc.,DFW,MIA,321,31,195,1,134,1650
Republic Airline,LGA,DCA,122,12,180,0,161,1649
Delta Air Lines Inc.,RDU,ATL,93,14,102,0,102,1646
Delta Air Lines Inc.,ATL,MSP,158,9,100,1,57,1644
American Airlines Inc.,SAT,DFW,113,27,135,1,200,1643
American Airlines Inc.,CLT,DFW,176,25,146,2,116,1635
American Airlines Inc.,LAS,DFW,141,6,112,3,160,1632
American Airlines Inc.,DFW,LAS,280,31,205,0,218,1627
JetBlue Airways,BOS,DCA,220,4,165,1,106,1618
Delta Air Lines Inc.,MSP,ATL,107,13,116,1,40,1614
SkyWest Airlines Inc.,LAX,SFO,112,27,34,2,93,1595
Delta Air Lines Inc.,JAX,ATL,59,19,61,0,75,1590
Southwest Airlines Co.,OAK,BUR,145,1,64,2,177,1586
United Air Lines Inc.,IAH,DEN,163,38,178,0,127,1586
American Airlines Inc.,LGA,ORD,115,24,158,0,199,1585
Delta Air Lines Inc.,ATL,RDU,150,12,60,0,61,1577
Delta Air Lines Inc.,BOS,ATL,128,14,123,1,107,1565
American Airlines Inc.,DFW,SAT,240,32,183,1,204,1564
Southwest Airlines Co.,SAN,LAS,146,2,157,1,225,1564
American Airlines Inc.,MIA,DFW,241,23,204,4,110,1562
JetBlue Airways,DCA,BOS,207,8,182,0,180,1556
Republic Airline,DCA,LGA,86,12,240,0,131,1553
Delta Air Lines Inc.,ATL,MIA,212,14,156,3,83,1540
Southwest Airlines Co.,MCO,BWI,186,17,120,3,194,1537
Delta Air Lines Inc.,ATL,DCA,156,9,126,1,87,1535
United Air Lines Inc.,DEN,IAH,183,19,184,0,148,1530
Southwest Airlines Co.,BWI,MCO,236,14,140,2,195,1529
SkyWest Airlines Inc.,SFO,LAX,105,21,16,1,92,1523
Southwest Airlines Co.,BUR,OAK,112,1,55,0,161,1517
Delta Air Lines Inc.,MIA,ATL,92,12,130,0,111,1510
Southwest Airlines Co.,LAS,PHX,247,4,118,1,235,1509
Southwest Airlines Co.,LAS,SAN,234,3,153,2,236,1506
United Air Lines Inc.,IAH,ORD,143,38,114,0,104,1503
Southwest Airlines Co.,DEN,LAS,247,10,154,0,226,1501
American Airlines Inc.,ORD,LGA,207,43,245,2,166,1494
Delta Air Lines Inc.,ATL,PBI,167,15,153,4,100,1494
Delta Air Lines Inc.,PBI,ATL,77,12,89,0,103,1485
Southwest Airlines Co.,PHX,LAS,211,4,119,0,233,1479
United Air Lines Inc.,DEN,ORD,186,22,159,0,149,1478
American Airlines Inc.,DFW,MCO,242,34,185,0,206,1465
Southwest Airlines Co.,SAN,OAK,147,1,116,0,220,1457
United Air Lines Inc.,SFO,ORD,171,5,116,0,100,1454
American Airlines Inc.,CLT,ORD,156,24,162,8,126,1452
United Air Lines Inc.,EWR,SFO,227,22,191,0,125,1451
United Air Lines Inc.,SFO,EWR,211,3,203,0,88,1450
Southwest Airlines Co.,LAS,DEN,208,9,128,1,196,1447
American Airlines Inc.,LGA,CLT,90,15,108,1,110,1440
Southwest Airlines Co.,OAK,SAN,171,2,76,0,172,1437
American Airlines Inc.,DEN,DFW,124,19,151,4,165,1432
United Air Lines Inc.,ORD,DEN,149,22,159,0,119,1427
Alaska Airlines Inc.,SEA,SFO,107,16,207,0,100,1425
American Airlines Inc.,BOS,DCA,102,13,102,0,124,1424
United Air Lines Inc.,ORD,SFO,140,19,187,0,117,1424
American Airlines Inc.,LGA,MIA,150,23,200,0,136,1423
Southwest Airlines Co.,BUR,LAS,126,1,139,0,188,1422
Delta Air Lines Inc.,CHS,ATL,53,3,61,0,59,1420
Southwest Airlines Co.,LAS,BUR,241,2,120,1,246,1417
American Airlines Inc.,DFW,DEN,223,30,167,1,180,1414
American Airlines Inc.,MIA,LGA,176,40,209,7,123,1414
American Airlines Inc.,DCA,DFW,107,13,136,4,103,1412
American Airlines Inc.,DCA,BOS,109,12,139,0,131,1409
United Air Lines Inc.,EWR,ORD,181,15,157,1,146,1405
JetBlue Airways,LAX,JFK,193,2,165,0,127,1404
Republic Airline,BOS,LGA,84,10,144,0,86,1404
American Airlines Inc.,MCO,DFW,120,55,156,1,157,1402
United Air Lines Inc.,EWR,MCO,215,16,201,0,170,1401
Southwest Airlines Co.,SJC,LAS,118,0,101,3,166,1397
Delta Air Lines Inc.,ATL,SLC,173,10,137,0,51,1395
United Air Lines Inc.,MCO,EWR,138,40,225,0,127,1394
Southwest Airlines Co.,LAS,OAK,276,0,114,6,285,1389
Southwest Airlines Co.,SJC,BUR,101,0,45,0,140,1389
United Air Lines Inc.,ORD,IAH,142,15,136,0,113,1389
Delta Air Lines Inc.,ATL,BNA,112,9,71,0,72,1386
Southwest Airlines Co.,LAS,SJC,213,3,108,0,213,1382
Southwest Airlines Co.,DEN,MDW,239,3,91,3,201,1381
American Airlines Inc.,TPA,CLT,94,11,80,2,121,1380
Delta Air Lines Inc.,ATL,EWR,133,13,174,3,60,1377
Delta Air Lines Inc.,SLC,ATL,131,7,118,1,62,1377
Southwest Airlines Co.,DAL,DEN,214,9,136,2,195,1377
Southwest Airlines Co.,LAX,OAK,144,0,59,1,167,1377
American Airlines Inc.,ORD,CLT,137,36,87,0,119,1375
Delta Air Lines Inc.,MSY,ATL,48,12,67,1,75,1370
Republic Airline,LGA,BOS,103,9,105,1,101,1369
United Air Lines Inc.,SFO,IAH,141,0,88,1,64,1364
American Airlines Inc.,CLT,TPA,174,17,132,5,136,1363
Southwest Airlines Co.,OAK,LAX,121,0,55,0,140,1361
American Airlines Inc.,DFW,SAN,239,33,168,2,186,1360
American Airlines Inc.,CLT,BOS,130,13,106,3,127,1359
Delta Air Lines Inc.,ATL,BWI,115,15,60,0,46,1358
United Air Lines Inc.,IAH,SFO,152,23,145,0,101,1357
Delta Air Lines Inc.,EWR,ATL,117,14,108,0,120,1354
JetBlue Airways,JFK,LAX,190,10,184,2,75,1352
Delta Air Lines Inc.,ATL,CHS,139,5,71,0,59,1351
Southwest Airlines Co.,SJC,SNA,104,0,38,0,129,1350
American Airlines Inc.,CLT,LGA,150,9,138,5,112,1348
Southwest Airlines Co.,DEN,DAL,247,4,144,1,199,1347
Southwest Airlines Co.,SAN,PHX,116,3,84,1,171,1347
Alaska Airlines Inc.,SFO,SEA,85,4,165,0,91,1345
American Airlines Inc.,LAX,JFK,134,3,111,3,85,1344
American Airlines Inc.,CLT,PHL,148,13,89,4,107,1342
